UID,MaritalStatus,CreditScore,AnnualIncome,NetWorth,EmploymentStatus,RiskScore,AgeGroup,PhoneNumber,Email
LEAD_492cebcb30234295ad949f79b17811d2,Married,570,51649,5705,Employed,51.0,36-50,'+91-8102849733',492ceb@mail.com
LEAD_391dac419b6c41b482c48bcf9842e6c2,Single,571,41376,3223,Employed,58.0,36-50,'+91-5645136078',391dac@mail.com
LEAD_92cb097730bb4768a42a1a9d652eac6f,Single,596,69444,179087,Employed,37.6,36-50,'+91-1361837465',92cb09@testmail.in
LEAD_8ff54d5d77ab474e81d028d30d4e75e6,Single,472,41461,153013,Employed,51.0,26-35,'+91-0575971361',8ff54d@example.com
LEAD_c2f967c43fda4404a5240f41d20539bf,Married,596,52740,82614,Employed,57.0,51+,'+91-5655039466',c2f967@example.com
LEAD_780facf1f50446b0bbf66bec3c067968,Married,517,24349,69476,Employed,51.0,26-35,'+91-0075741218',780fac@testmail.in
LEAD_b6ef6f5d55d14f7da4f8e9610e2c575a,Single,538,21154,5248,Employed,57.0,36-50,'+91-7655535710',b6ef6f@testmail.in
LEAD_ce371c0032da4cfb951f89e96b76ee78,Married,592,27655,175651,Employed,53.0,36-50,'+91-5090736537',ce371c@testmail.in
LEAD_d19ff27a2eaa4e1faebbfbe529e4e651,Divorced,648,18807,10782,Employed,62.0,51+,'+91-2882866485',d19ff2@testmail.in
LEAD_ea321619f8c84ed6b4aafe9c750bf22b,Divorced,587,49214,6386,Employed,52.0,36-50,'+91-6338398631',ea3216@example.com
LEAD_d9e59c50c42c44f9b89c797bebe87301,Single,645,96969,566222,Employed,35.2,26-35,'+91-8525171713',d9e59c@testmail.in
LEAD_c2fd0ff41f1a45209db1c945ba082eba,Divorced,641,31602,4085,Employed,51.0,36-50,'+91-2975819566',c2fd0f@mail.com
LEAD_739b5c63b1784275858a9ef1dc168c95,Married,610,104847,356444,Employed,31.2,36-50,'+91-1508016520',739b5c@example.com
LEAD_d1ac525d12b64f0f960e14bb89420502,Single,579,65770,12809,Employed,42.4,36-50,'+91-9335041245',d1ac52@example.com
LEAD_03101686ed6d483da88eb7719eb86c51,Married,552,32566,23343,Employed,55.0,18-25,'+91-5335801968',031016@testmail.in
LEAD_1a1ac4d91f0240d285110dd0a536c8fc,Divorced,618,40926,5446,Unemployed,53.0,26-35,'+91-9904514629',1a1ac4@mail.com
LEAD_5f2c014f631147e2ae2b71dd8dcff1e8,Married,576,75824,59841,Employed,53.0,26-35,'+91-6159180912',5f2c01@mail.com
LEAD_1ca2a1cf88e14623a9459830a1cf5556,Divorced,669,17466,13261,Self-Employed,55.0,51+,'+91-7706200454',1ca2a1@example.com
LEAD_fbd707a628a549e2be0d561b6dea766d,Married,602,97702,11946,Employed,43.2,51+,'+91-7176785125',fbd707@example.com
LEAD_9149c6fd66504c7b9fde5d6911020dbb,Married,540,61635,116866,Unemployed,51.0,36-50,'+91-2590073806',9149c6@mail.com
LEAD_2c8d26429aac4d5e8bd6b5cfff1cf332,Married,552,33640,5929,Employed,52.0,36-50,'+91-1983203378',2c8d26@example.com
LEAD_b7a8fe5ec6d74ae980bf4ed37f3f5f98,Married,430,38109,35203,Employed,65.0,36-50,'+91-4427643680',b7a8fe@mail.com
LEAD_59826d09b421408d9be82b145252d357,Divorced,478,121225,29275,Unemployed,47.2,51+,'+91-6846918280',59826d@example.com
LEAD_e4f5142a895d4098b257f294fb91d5b1,Single,495,16076,49415,Employed,54.0,26-35,'+91-8430727430',e4f514@testmail.in
LEAD_77901fa8664d4393aee5bb590dda58c1,Single,588,46792,2677,Employed,58.0,36-50,'+91-4393430288',77901f@example.com
LEAD_02c2b3cf440a4f2783cb07501c00ff01,Single,592,75531,69050,Self-Employed,48.0,51+,'+91-5877371530',02c2b3@mail.com
LEAD_6614a7a9333840b698db3712d0cee448,Married,642,61009,1752,Employed,40.0,36-50,'+91-7801958376',6614a7@example.com
LEAD_c5fb810669f14120846321eada68f476,Single,589,48516,56676,Employed,61.0,36-50,'+91-5856785062',c5fb81@testmail.in
LEAD_35efb37e39a44dac92fd65854e3716d9,Single,484,135335,4966,Employed,53.0,51+,'+91-2423324329',35efb3@testmail.in
LEAD_50aaa3e9e2e241abb1845f6bc2e9ae76,Single,525,20954,444763,Unemployed,51.0,18-25,'+91-3392445162',50aaa3@testmail.in
LEAD_6902c40e7c214889af44fa5f056389e6,Single,605,25619,7692,Employed,48.0,36-50,'+91-8129345611',6902c4@example.com
LEAD_b9f33ea113b34b6b9febe232b0692fcb,Single,550,15000,10458,Employed,62.0,26-35,'+91-2195978977',b9f33e@testmail.in
LEAD_b52f723d25d6412181d211c009dcb26e,Single,561,18598,166985,Employed,49.0,18-25,'+91-0692494319',b52f72@testmail.in
LEAD_4323730e9cab4b6a94c0a3a4e7821fbb,Single,625,33832,30433,Employed,49.0,36-50,'+91-4749300909',432373@testmail.in
LEAD_0959354353c34488b6457665b83390c5,Married,675,90711,6715,Employed,35.2,51+,'+91-9314348427',095935@example.com
LEAD_11e9ce5fe664418d8d730f918e3cf263,Single,586,72650,53789,Employed,55.0,36-50,'+91-0196856639',11e9ce@testmail.in
LEAD_12c44d4b67f54000a7f830635bafbd0b,Widowed,617,47364,65564,Unemployed,56.0,51+,'+91-5383984859',12c44d@testmail.in
LEAD_c098e1a0fb6c4108be43a201b983d679,Married,535,46441,126990,Employed,53.0,51+,'+91-0466063531',c098e1@testmail.in
LEAD_60f6d3fcf2d2426fa73fcfd64cc5efdf,Married,629,118130,4133,Employed,36.8,51+,'+91-0424076034',60f6d3@example.com
LEAD_333910c49fab487a8da8eb806a12eb88,Married,514,39570,2706,Unemployed,60.0,51+,'+91-4918322465',333910@testmail.in
LEAD_5de3c9081ba649fabcbbf8a39c179602,Married,527,72019,43289,Employed,51.0,36-50,'+91-4047947082',5de3c9@mail.com
LEAD_74b659f78e9c4210bc97279ba5849418,Married,604,101530,7148,Employed,52.0,36-50,'+91-1597305497',74b659@mail.com
LEAD_aa4c83f58c8e4ef88dc4c8202d8d6111,Married,522,21485,74179,Employed,54.0,18-25,'+91-7296056825',aa4c83@testmail.in
LEAD_0af3ee23ccd94dfdb0c1995c4f092ffa,Divorced,660,30840,51936,Employed,45.0,36-50,'+91-7777273168',0af3ee@example.com
LEAD_b327bfe28594445c8e8a7b7792d4bf6a,Married,572,133999,1270,Employed,51.0,26-35,'+91-9711921879',b327bf@mail.com
LEAD_d28fb0b5283b43598ac49e31cf7ebf50,Married,620,71744,19106,Employed,54.0,51+,'+91-4721039973',d28fb0@testmail.in
LEAD_e4fa0cd0c5d046958b7728e469f3728d,Divorced,578,26294,166631,Employed,51.0,36-50,'+91-2455076113',e4fa0c@mail.com
LEAD_b7edc00ae9ee4e858783f478fc4bff2c,Single,604,33223,6613,Employed,53.0,36-50,'+91-5272159551',b7edc0@example.com
LEAD_f237234279f64325b68c543b2053c2e5,Married,559,44766,9708,Employed,51.0,36-50,'+91-5828033433',f23723@mail.com
LEAD_ea2a6b9af53a434e9f4071dd4b51b884,Divorced,598,106620,32008,Employed,44.0,36-50,'+91-3754506898',ea2a6b@example.com
LEAD_ce6eb2857abf4a97a4c8735c8fe90364,Married,603,111042,3662,Employed,36.8,51+,'+91-6821485043',ce6eb2@example.com
LEAD_17349da1362d48c5adda35397d3e34b6,Single,553,88075,149016,Employed,48.0,26-35,'+91-5763818052',17349d@mail.com
LEAD_b59bc001ffdc4a2cbd2a44153e949660,Divorced,534,32645,67403,Employed,51.0,36-50,'+91-7346035992',b59bc0@testmail.in
LEAD_0b5fa11abc5d4c759d46f83a6ec39352,Divorced,514,48835,206193,Employed,39.2,26-35,'+91-8992736963',0b5fa1@example.com
LEAD_df7f3c14ef09459bbfd73dd2974776ab,Single,504,24170,111834,Self-Employed,50.0,18-25,'+91-5597849091',df7f3c@mail.com
LEAD_c51948be1b8a4d73bfacc4504b2d6cf6,Married,602,41716,9917,Employed,49.0,26-35,'+91-6740456042',c51948@testmail.in
LEAD_5e0943c0c2b54961b033ca6a98c93b53,Married,606,22196,151203,Unemployed,54.0,36-50,'+91-7109868078',5e0943@example.com
LEAD_839742a1f7db45e0a8a1fc474f34c9e3,Single,590,29095,90017,Unemployed,55.0,26-35,'+91-9284152297',839742@testmail.in
LEAD_4704a124d3f24dd39d76a410391244c1,Married,541,31626,70765,Employed,53.0,26-35,'+91-7481028143',4704a1@testmail.in
LEAD_7396c18de2eb4fa2afe07412f41d1d1e,Single,502,50530,8320,Employed,40.8,18-25,'+91-1723592095',7396c1@example.com
LEAD_581996e045224369be22ea6d93c85af0,Married,568,68255,77662,Employed,50.0,36-50,'+91-4194757975',581996@example.com
LEAD_6ce1d12aad664bb5be39f9c50d8aa9d9,Single,603,104739,80593,Employed,50.0,18-25,'+91-5985413906',6ce1d1@testmail.in
LEAD_d742bbbbd2d04c11b53c9fc68d932fdf,Widowed,543,35442,94724,Self-Employed,58.0,36-50,'+91-0370602455',d742bb@mail.com
LEAD_57bcfaa60a6643baba9a6a452d36b484,Single,548,76536,25878,Employed,51.0,36-50,'+91-5554678739',57bcfa@mail.com
LEAD_b24e265edabe4d2e9958e7f8e7f6b213,Married,589,40442,2104,Employed,53.0,18-25,'+91-3326170937',b24e26@example.com
LEAD_5885c374145d43e1a09a74714b3f1c23,Single,624,81996,39758,Employed,55.0,36-50,'+91-7811308818',5885c3@testmail.in
LEAD_52c8cfc97d944424be5375c2fc91e482,Single,525,18618,53111,Employed,52.0,26-35,'+91-8412134777',52c8cf@mail.com
LEAD_fc0309b11f21460f8e3e480e6b127241,Divorced,545,34912,11913,Employed,59.0,36-50,'+91-6605552434',fc0309@testmail.in
LEAD_7c4ce155e0004da0a7cae222dadb6acc,Single,636,100053,8570,Employed,56.0,51+,'+91-0454019500',7c4ce1@testmail.in
LEAD_8de8dbad88934e5cba69b73a04aa5972,Divorced,520,71059,37855,Employed,59.0,18-25,'+91-1460056895',8de8db@testmail.in
LEAD_a25f86b054774cbaaa70eda617fdab1c,Married,584,68168,10323,Employed,55.0,36-50,'+91-5434326636',a25f86@mail.com
LEAD_7510708cd91f4e27a39f33fc706a02a7,Single,574,114416,10937,Employed,62.0,36-50,'+91-3675427510',751070@mail.com
LEAD_98a415e42c9c478b85e13fa2f3f4d74f,Single,605,17777,15171,Self-Employed,58.0,36-50,'+91-1608012221',98a415@example.com
LEAD_51e11ba0f0e9414190691ab018b80dc9,Married,600,22075,158796,Employed,50.0,36-50,'+91-4369251241',51e11b@mail.com
LEAD_5a346d06658d49fb8fc33f5301bb50b6,Divorced,545,53977,9565,Employed,68.0,26-35,'+91-9669117627',5a346d@example.com
LEAD_c4646263be5347e8b43aac92ed71537a,Married,615,86859,36743,Employed,40.8,36-50,'+91-8054468982',c46462@testmail.in
LEAD_1177388952194b4b929d296a1b68eabe,Married,498,75237,87432,Employed,55.0,26-35,'+91-9544573464',117738@example.com
LEAD_6e8a58a0317e4a069f40813618eb3857,Married,557,216767,101060,Self-Employed,48.0,51+,'+91-1898200639',6e8a58@example.com
LEAD_87ded768a30b432a800b31c8a8fc2fa0,Single,624,29480,288912,Employed,35.2,36-50,'+91-8528638848',87ded7@testmail.in
LEAD_b5e37507b2094aa881b172633b581094,Single,555,79843,77447,Unemployed,41.6,51+,'+91-9279278690',b5e375@example.com
LEAD_986be98584e14f0797e7b252b24b0604,Married,618,43119,4094,Employed,50.0,36-50,'+91-0602006707',986be9@mail.com
LEAD_7aad02d958e34848a8665577ed764028,Married,581,68448,54161,Self-Employed,57.0,26-35,'+91-7770839713',7aad02@example.com
LEAD_384a677d507b4d6d96eba530fb14e58b,Married,594,56506,8212,Self-Employed,61.0,18-25,'+91-9427970647',384a67@mail.com
LEAD_ed496c317c1f4c95a9e2801e77c0da6b,Married,433,27225,49068,Employed,57.0,18-25,'+91-1938044667',ed496c@example.com
LEAD_f83e62cf0753486ea4c810fc56b35de4,Divorced,482,48703,23106,Self-Employed,64.0,18-25,'+91-6756083693',f83e62@example.com
LEAD_a338f1fa88c14bd4a905e091cbc8a838,Widowed,551,50291,42035,Employed,50.0,36-50,'+91-2103993421',a338f1@mail.com
LEAD_0acb93efb0d14c839f5da7a8fac546cd,Widowed,527,49697,6085,Employed,55.0,36-50,'+91-1289997007',0acb93@mail.com
LEAD_3d5241355a5a4fada5f591d3ccc21ead,Married,488,84530,7501,Employed,55.0,18-25,'+91-6294405603',3d5241@example.com
LEAD_42c95d2a2b38435ca978125e94e74c4c,Married,516,204742,89087,Employed,36.0,36-50,'+91-7676346003',42c95d@mail.com
LEAD_8718792d2a8a47a8ad261919cae12c5a,Married,550,15104,4672,Employed,53.0,26-35,'+91-1019873059',871879@testmail.in
LEAD_80b7b0a55e78484aa4a94540568f9c68,Married,653,131852,4048,Self-Employed,36.8,36-50,'+91-6267436124',80b7b0@mail.com
LEAD_2fbe44870bb44074b4fd0881139b4f08,Married,437,80854,111095,Self-Employed,50.0,51+,'+91-0813948518',2fbe44@mail.com
LEAD_6bad28f9764d4f1f98885576dd4f7053,Married,644,36503,28206,Employed,47.0,36-50,'+91-4836393678',6bad28@testmail.in
LEAD_238227aa4655427dbba9047e6a65c449,Married,573,35137,8211,Employed,44.0,36-50,'+91-7011105272',238227@example.com
LEAD_bb9ceb2aa3914b2e9df061c0a11bc659,Married,523,76592,49584,Employed,45.6,26-35,'+91-9349709419',bb9ceb@mail.com
LEAD_16816d0c296b40669d18e99b0ad4fd31,Single,485,38111,3073,Employed,53.0,18-25,'+91-9580874704',16816d@example.com
LEAD_bd8fbd1c02bf48d6aef602f96a8dfe41,Divorced,511,44609,19602,Employed,56.0,26-35,'+91-0103115138',bd8fbd@mail.com
LEAD_b8fbdb7df11b416f9f5dc3956a026a2f,Widowed,604,25956,336696,Employed,54.0,36-50,'+91-1620903208',b8fbdb@example.com
LEAD_9b2a9899c74c46329519f52e57ad065a,Single,612,26785,37128,Employed,54.0,26-35,'+91-0605561282',9b2a98@mail.com
LEAD_6a4f87314cc4412fb08ad6209b774c8a,Married,487,25855,5822,Employed,57.0,36-50,'+91-6551857826',6a4f87@mail.com
LEAD_33bccd5faf1b46d392eb60bb5c080941,Married,615,41591,258252,Employed,39.2,36-50,'+91-1213386621',33bccd@testmail.in
LEAD_18db1a62294f4309b9bf5f1be1fdbb05,Single,579,52715,187998,Employed,50.0,36-50,'+91-6788203347',18db1a@example.com
LEAD_8b6d57c925da41cfa1f0b8f80be8a8cc,Married,640,62915,305058,Employed,52.0,26-35,'+91-2196387138',8b6d57@testmail.in
LEAD_524f5358febc481e8084524906de5f29,Married,578,31220,6973,Employed,59.0,36-50,'+91-9795002633',524f53@example.com
LEAD_74c697ad41e9429bbd33bfa547639b35,Married,602,77023,53111,Employed,45.0,36-50,'+91-8734662433',74c697@example.com
LEAD_dccd590a1353452cbae1c79439a6a8fd,Married,531,22004,1694,Employed,66.0,26-35,'+91-9187027785',dccd59@mail.com
LEAD_d0459896d1d24e549e97adff07c62fe6,Married,613,77604,170694,Employed,48.0,51+,'+91-4606916846',d04598@mail.com
LEAD_1e7c5fe432dd44c7ac74821bbf869604,Divorced,593,33555,10525,Employed,53.0,36-50,'+91-1612423475',1e7c5f@testmail.in
LEAD_cd82636c4aaf460b86aacf9b9d50b3a3,Married,519,131370,30446,Employed,54.0,36-50,'+91-3208219954',cd8263@testmail.in
LEAD_98e41ac53d274ee3b3a06dc6794adbb4,Married,572,67761,40190,Employed,50.0,36-50,'+91-8705899950',98e41a@testmail.in
LEAD_587e1b00260849379d01de397b399629,Divorced,554,87136,58443,Employed,37.6,36-50,'+91-6177026194',587e1b@example.com
LEAD_1342cbeebe4e44f2b0f70fc6712043df,Single,635,47257,8332,Employed,55.0,51+,'+91-1967407398',1342cb@example.com
LEAD_1b7a5575e7fd433c9f968efb046f38d4,Single,587,77455,172923,Employed,42.4,36-50,'+91-2656941073',1b7a55@mail.com
LEAD_0314b17e2978490ab5433526fb77d56c,Married,599,22997,4752,Employed,68.0,26-35,'+91-2515634289',0314b1@testmail.in
LEAD_28347a2ad9c34e87a29719038f6cbaa3,Married,511,27330,89705,Employed,54.0,36-50,'+91-4332683209',28347a@testmail.in
LEAD_0948844a1cdc4517ad661491fdc2e01d,Widowed,578,41889,108733,Employed,49.0,26-35,'+91-2771314228',094884@mail.com
LEAD_50d2abd1c2b140ccaf0948c48051176d,Single,524,120399,12205,Employed,55.0,36-50,'+91-8003320731',50d2ab@mail.com
LEAD_64c153f4cb324449b625169ebaa51dbe,Married,468,77002,15373,Employed,56.0,36-50,'+91-7611958395',64c153@mail.com
LEAD_11b31a4be7ff48a9a042012aa266cc90,Married,627,15000,7491,Employed,52.0,36-50,'+91-3391167543',11b31a@testmail.in
LEAD_0839c6bb47f44bb48120f7ec6c5c11e2,Married,580,25340,10869,Employed,53.0,36-50,'+91-7383293533',0839c6@example.com
LEAD_b95b7d36c24e4a3fa4705e2828bf7574,Single,566,39796,29764,Employed,54.0,18-25,'+91-9664007531',b95b7d@example.com
LEAD_e964b098fe6b46718dbd424103f5e90f,Single,562,104938,118921,Employed,51.0,26-35,'+91-0337301790',e964b0@testmail.in
LEAD_d9cda8aea76d471995eb3d30f580ac36,Divorced,604,52927,9091,Employed,50.0,36-50,'+91-5261265771',d9cda8@mail.com
LEAD_6b73574753e44c1f8fcdaeec2ba0d590,Married,593,15000,108517,Unemployed,53.0,36-50,'+91-5231823061',6b7357@testmail.in
LEAD_7cb873f0f5884240b90016833d1eb526,Divorced,561,23822,2319,Self-Employed,58.0,26-35,'+91-3470963148',7cb873@testmail.in
LEAD_a3444acef22c421b8df0661953317542,Divorced,551,98285,1005198,Employed,39.2,51+,'+91-5789959972',a3444a@mail.com
LEAD_3fea03795f454460aedb4bfb89397c7d,Divorced,539,51368,6576,Employed,53.0,26-35,'+91-6420760077',3fea03@example.com
LEAD_82c30dc067ff4fea952a0e9264506173,Single,501,48825,221526,Employed,52.0,51+,'+91-6002992508',82c30d@mail.com
LEAD_f69517531c08412db4941fd5318506fe,Married,630,85184,5091,Employed,50.0,36-50,'+91-6602958091',f69517@mail.com
LEAD_4e21c73841af400f8aad5aa7879c1441,Married,611,38896,6351,Employed,49.0,26-35,'+91-2572404702',4e21c7@testmail.in
LEAD_911ef3e908154ebf82b76d9eab02ee66,Single,595,93365,18942,Self-Employed,59.0,51+,'+91-3886264493',911ef3@mail.com
LEAD_1a73ca3731ce43be879da14211aa7df4,Married,595,136998,8009,Employed,41.6,18-25,'+91-2793047329',1a73ca@testmail.in
LEAD_6b33d1006ba5453a8144b9bdf27c7110,Married,557,67855,62514,Unemployed,57.0,51+,'+91-7235293370',6b33d1@example.com
LEAD_81736dbf1e5848cf8dca1c0da89f630e,Single,638,38750,70564,Employed,54.0,51+,'+91-7692122694',81736d@example.com
LEAD_a0a875d12b9b47938b77f2bbf44fc0ee,Single,623,36944,177751,Employed,48.0,26-35,'+91-3325881842',a0a875@mail.com
LEAD_cea6ceed67b84bfcb865f6d67c4711b3,Single,501,37433,9518,Unemployed,56.0,51+,'+91-8789102247',cea6ce@testmail.in
LEAD_1a0765344f464deeb0cc914aa750c250,Married,560,15000,114997,Employed,61.0,36-50,'+91-3216617147',1a0765@example.com
LEAD_e801eb48fff04a3ba7682ff20a2dd1bc,Widowed,468,23180,4286,Employed,53.0,36-50,'+91-4148716411',e801eb@example.com
LEAD_8570a9b02cd4425b8527c5c6805c84cf,Single,577,90596,119150,Employed,43.2,36-50,'+91-8186727438',8570a9@example.com
LEAD_04e11d8ac48f4672a59506816ce27d94,Married,550,47752,54440,Employed,52.0,36-50,'+91-7976469374',04e11d@example.com
LEAD_f06c483d852646188f24b2d0a01e3f1b,Single,566,123449,53478,Unemployed,43.2,36-50,'+91-4245465469',f06c48@example.com
LEAD_46e13916b9154292a5668ec4192f7d6c,Married,593,49887,5595,Employed,58.0,36-50,'+91-1047791132',46e139@mail.com
LEAD_dffcb9253adb49dfa4b4ebefa32544fe,Married,484,91055,53271,Employed,48.0,18-25,'+91-1218096877',dffcb9@mail.com
LEAD_c3631b47d38e43abbf9834d4be9ee1e8,Married,597,15508,1350,Employed,54.0,51+,'+91-2399112131',c3631b@example.com
LEAD_7b360008db32448794499806cad842d2,Widowed,622,35407,10746,Employed,66.0,18-25,'+91-3579876706',7b3600@testmail.in
LEAD_ad0704b531a243be987f95aba341eb13,Single,673,55262,101057,Employed,42.0,51+,'+91-3756663642',ad0704@mail.com
LEAD_8358288f8c734a039dbc500a69b14b20,Married,600,35312,65335,Employed,57.0,51+,'+91-4163381410',835828@example.com
LEAD_d462e075256843eeb0edfdc9359f9745,Married,601,110829,101408,Self-Employed,40.8,26-35,'+91-7978563449',d462e0@example.com
LEAD_e67a8a7d8a7540ddb35f4760c55bfb05,Married,382,15000,4232,Employed,61.0,26-35,'+91-3692762181',e67a8a@testmail.in
LEAD_75ab547f251d4d7d945e6e4d0ae0ef50,Married,600,38443,18567,Self-Employed,51.0,26-35,'+91-7563442270',75ab54@example.com
LEAD_52c6444b56a04cde9e27bd98e41d46ba,Single,575,111442,60725,Employed,42.4,36-50,'+91-1623343168',52c644@example.com
LEAD_da732cf8bd0745ffb74769dec224617c,Divorced,619,92391,8658,Employed,58.0,36-50,'+91-8521714555',da732c@mail.com
LEAD_056d0c3678464c29be475ebc8ffd9981,Divorced,574,31916,9998,Employed,40.8,36-50,'+91-3509422035',056d0c@mail.com
LEAD_2450ed7aac6a4efd823614df60114768,Single,568,28552,59721,Self-Employed,72.0,51+,'+91-2476738072',2450ed@example.com
LEAD_4ab12e95cb404d3e9d0f8a69b5633e7a,Married,574,88666,230104,Employed,61.0,51+,'+91-9492681127',4ab12e@testmail.in
LEAD_6db9501c5cd9454e90faa263a4a92535,Married,535,28649,4266,Employed,60.0,26-35,'+91-8782613494',6db950@example.com
LEAD_dbf5e1b06f884aaebe8d556d7056a7ce,Divorced,530,30209,100775,Employed,51.0,36-50,'+91-6602089945',dbf5e1@example.com
LEAD_7c31749f78c143d79958a29e34ed1ede,Divorced,507,77499,8571,Employed,52.0,18-25,'+91-0215313887',7c3174@testmail.in
LEAD_24f2be7a47424c0e9f556d0e0f5249fd,Married,519,52658,10004,Self-Employed,59.0,26-35,'+91-2945314236',24f2be@mail.com
LEAD_415d380a842347988b77b9f110ea84ea,Single,658,50652,1310,Employed,44.0,51+,'+91-9437268597',415d38@testmail.in
LEAD_dae2ed6e2e7147ccb52ca56babf602a4,Married,613,61486,105943,Employed,45.0,51+,'+91-8997171956',dae2ed@example.com
LEAD_a8aca0b90df945c5a3639094d015e191,Married,590,62485,184900,Self-Employed,49.0,18-25,'+91-6487069080',a8aca0@testmail.in
LEAD_f98f2e65c087428b888dde3e1e64d5d6,Single,573,44079,25071,Employed,71.0,26-35,'+91-9920612124',f98f2e@mail.com
LEAD_071891a748984f3ebc0db0d3dc10a3b6,Married,616,44626,1414,Employed,48.0,36-50,'+91-0432121218',071891@mail.com
LEAD_fdd4737a1c1845b9bc921df9cf021edd,Divorced,600,15000,8404,Employed,53.0,36-50,'+91-1953587687',fdd473@example.com
LEAD_05fdc244df544fb09e4ceaefe641196e,Married,566,33434,161151,Employed,51.0,26-35,'+91-7679442174',05fdc2@example.com
LEAD_ec6d7e9197a74449999181cbcc54cda2,Married,638,33561,33894,Employed,53.0,36-50,'+91-8197113373',ec6d7e@mail.com
LEAD_82bcf9409a4f46e8adfd377265e09a83,Single,536,26861,170568,Employed,48.0,26-35,'+91-9623742200',82bcf9@example.com
LEAD_1589fe285e824859b1c0019533c4d792,Divorced,560,24277,296478,Employed,57.0,36-50,'+91-7512340212',1589fe@mail.com
LEAD_8c9795dd637a482c9a79692d2116bbc4,Divorced,531,33750,24429,Employed,54.0,36-50,'+91-4326231585',8c9795@mail.com
LEAD_587d61947f6545f398fc981edc0995d8,Single,593,32397,69324,Employed,49.0,36-50,'+91-5650338933',587d61@testmail.in
LEAD_36168a159b92466a88ffdfa92c43aac9,Single,513,40422,23080,Employed,72.0,26-35,'+91-8599120721',36168a@testmail.in
LEAD_8d4ae7bded754e948840457daa515bac,Married,421,29637,3724,Employed,51.0,36-50,'+91-0513103794',8d4ae7@testmail.in
LEAD_b800b5ebd7534541b427636fb24c6335,Single,611,63443,229105,Employed,61.0,36-50,'+91-6910780474',b800b5@example.com
LEAD_6a8e7b2f17494e71ad7f5362e4064775,Single,504,66715,114218,Unemployed,51.0,26-35,'+91-9833539968',6a8e7b@testmail.in
LEAD_3910b60361714ba89d8f52f33513e696,Single,459,57935,27842,Employed,53.0,36-50,'+91-3435000097',3910b6@example.com
LEAD_c8fd896914194e71a8f1707269fd3158,Married,491,88691,126912,Employed,41.6,51+,'+91-4706284305',c8fd89@mail.com
LEAD_20e33867faa54da39821faee3423a0e2,Single,556,31902,36145,Employed,65.0,36-50,'+91-0747308987',20e338@mail.com
LEAD_4747ffd66a3a4cd18c382d3118bbfcab,Married,557,34995,389340,Employed,46.0,36-50,'+91-1067843804',4747ff@testmail.in
LEAD_1d3e03026ebc494f8e574b7d355cdad9,Single,608,48142,74574,Employed,47.0,36-50,'+91-8779948372',1d3e03@testmail.in
LEAD_f09e82c1801a4537979530429bfa824f,Single,558,39954,51406,Employed,53.0,26-35,'+91-9510989419',f09e82@example.com
LEAD_da7877f4073045c794a9ac3afae3e609,Married,592,27861,19643,Employed,51.0,51+,'+91-5824105931',da7877@mail.com
LEAD_5576769516ad42bda341e41dfd74062b,Married,552,42634,39500,Employed,53.0,36-50,'+91-8183209862',557676@testmail.in
LEAD_842186951d614ce6b8f2dcf808fdbcdf,Divorced,526,147328,19506,Self-Employed,40.0,36-50,'+91-1265632296',842186@mail.com
LEAD_fe5153c6d95448c89bfd934c3975652d,Divorced,609,29595,96315,Employed,49.0,36-50,'+91-4324358332',fe5153@mail.com
LEAD_881f85fb19054a70a2ccccd07cd31e4b,Single,537,23483,8463,Employed,57.0,18-25,'+91-7074486532',881f85@mail.com
LEAD_2b5d014feb924ea99c7f9e4e242f2949,Married,575,27328,21733,Employed,51.0,26-35,'+91-9930989605',2b5d01@mail.com
LEAD_c7ab0e2db4f747d9ae7c67549e72d16e,Married,593,66996,184930,Employed,39.2,18-25,'+91-6714902949',c7ab0e@mail.com
LEAD_620388d41d064501831fc6795253d20c,Single,551,53701,1340,Employed,52.0,36-50,'+91-0810167923',620388@testmail.in
LEAD_86ea8f5df6d04aa885161d6f385ba619,Married,580,87984,7077,Employed,49.0,51+,'+91-7215628607',86ea8f@testmail.in
LEAD_0e208aac4b86452080245419913abd5e,Married,622,252597,79753,Unemployed,36.0,51+,'+91-0309013540',0e208a@example.com
LEAD_f2cd898e3a2d4558a5f424c1f1ce2b86,Married,521,73636,19675,Employed,40.8,36-50,'+91-5502393112',f2cd89@testmail.in
LEAD_0631fe031640467fa8df8a7f45d3e290,Divorced,516,95828,3804,Self-Employed,52.0,36-50,'+91-1052993101',0631fe@testmail.in
LEAD_def6c7fbaf1744199d379f8bbd1cb144,Single,557,296766,66096,Employed,48.8,18-25,'+91-6291852735',def6c7@example.com
LEAD_c10e15c0aec34d6d9a34af3c9bc2e2eb,Single,526,63386,6794,Employed,40.8,26-35,'+91-4572488160',c10e15@mail.com
LEAD_cfbd795e3e03442892c002cb3f217117,Married,636,41187,62306,Employed,51.0,26-35,'+91-0325213008',cfbd79@testmail.in
LEAD_ccc67fde4c7542baa8fcd5f36559fe7e,Widowed,512,28358,72997,Employed,70.0,26-35,'+91-0499631081',ccc67f@mail.com
LEAD_1f4349531e314fbbb5b4ba975cf943e5,Divorced,569,81678,53464,Self-Employed,56.0,36-50,'+91-7233481675',1f4349@testmail.in
LEAD_a94ff380e34240b88cea2018cce32338,Married,503,18194,33781,Employed,55.0,26-35,'+91-2777013172',a94ff3@mail.com
